State,Site,Station,Frequency (MHz)
JOHOR,Johor Bahru & Singapura | Gunung Pulai,988 Fm,99.9
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Ai Fm,104.9
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Best Fm,104.1
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Era,104.5
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Fly Fm,102.5
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Hitz,97.6
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Hot Fm,90.1
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Ikimfm,106.2
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Johor Fm,101.9
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Lite,94.6
JOHOR,Johor Bahru & Singapura | Gunung Pulai,My,95.4
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Melody,98.4
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Minnal Fm,101.1
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Mix,99.1
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Nasional Fm,105.7
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Raaga,103.7
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Radio Klasik,106.7
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Sinar,87.8
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Suria,101.4
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Traxx Fm,102.9
JOHOR,Johor Bahru & Singapura | Gunung Pulai,Zayan,92.8
JOHOR,Johor Bahru Metropolis Tower,Melody,103.3
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Ai Fm,89.1
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Best Fm,102.5
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Johor Fm,92.1
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Minnal Fm,88.3
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Nasional Fm,90.9
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Radio Klasik,90.1
JOHOR,"Mersing, Kuala Rompin, Pekan | Bukit Tinggi",Traxx Fm,92.9
JOHOR,Taman Sentosa,Eight Fm,105.3
KEDAH,Gunung Jerai,988 Fm,96.1
KEDAH,Gunung Jerai,Ai Fm,101.3
KEDAH,Gunung Jerai,Eight Fm,87.8
KEDAH,Gunung Jerai,Era,103.6
KEDAH,Gunung Jerai,Hitz,92.8
KEDAH,Gunung Jerai,Hot Fm,88.2
KEDAH,Gunung Jerai,Ikimfm,89
KEDAH,Gunung Jerai,Kedah Fm,97.5
KEDAH,Gunung Jerai,Lite,104.4
KEDAH,Gunung Jerai,My,99.7
KEDAH,Gunung Jerai,Melody,106.5
KEDAH,Gunung Jerai,Minnal Fm,96.7
KEDAH,Gunung Jerai,Mix,91
KEDAH,Gunung Jerai,Nasional Fm,100.5
KEDAH,Gunung Jerai,Raaga,102.3
KEDAH,Gunung Jerai,Radio Klasik,94.9
KEDAH,Gunung Jerai,Sinar,97.1
KEDAH,Gunung Jerai,Suria,106.9
KEDAH,Gunung Jerai,Traxx Fm,98.1
KEDAH,Gunung Jerai,Zayan,98.1
KEDAH,Gunung Raya,Era,90.7
